GEOID,STATE,COUNTY,TRACT,BLOCK,P1_Total(001),P1_White(003),P1_Black(004),P1_AIAN(005),P1_Asian(006),P1_NHPI(007),P1_Other(008),P1_TwoPlus(009),P2_Total(001),P2_Hispanic(002),P2_NotHispanic(003),P2_NH_White(005),P2_NH_Black(006),P2_NH_AIAN(007),P2_NH_Asian(008),P2_NH_NHPI(009),P2_NH_Other(010),P2_NH_TwoPlus(011),H1_TotalUnits(001),H1_Occupied(002),H1_Vacant(003),P5_GQTotal(001),P5_Inst(002),P5_Correctional(003),P5_Juvenile(004),P5_Nursing(005),P5_OtherInst(006),P5_NonInst(007),P5_College(008),P5_Military(009),P5_OtherNonInst(010),ad_old,ad_new,place_share
361190001031004,36,119,000103,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,089,089,1.0
361190003001008,36,119,000300,1008,26,5,4,2,0,0,5,10,26,16,10,0,3,2,0,0,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,090,090,1.0000000000000002
361190004032005,36,119,000403,2005,988,62,513,0,7,0,310,96,988,455,533,24,475,0,7,0,9,18,501,472,29,0,0,0,0,0,0,0,0,0,0,089,089,1.0
361190004012008,36,119,000401,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,089,089,1.0000000000000002
361190004032000,36,119,000403,2000,110,12,74,0,0,0,11,13,110,34,76,6,65,0,0,0,0,5,48,44,4,0,0,0,0,0,0,0,0,0,0,089,089,1.0000000000000002
361190004042005,36,119,000404,2005,118,16,56,2,5,0,25,14,118,49,69,10,51,0,5,0,1,2,49,31,18,0,0,0,0,0,0,0,0,0,0,089,089,1.0
361190005022000,36,119,000502,2000,469,66,165,7,7,0,171,53,469,272,197,29,153,0,7,0,0,8,349,344,5,0,0,0,0,0,0,0,0,0,0,090,090,1.0000000000000002
361190007012009,36,119,000701,2009,43,24,0,4,0,0,4,11,43,13,30,24,0,0,0,0,1,5,8,8,0,0,0,0,0,0,0,0,0,0,0,090,090,0.9999999999999999
361190007011001,36,119,000701,1001,43,31,1,0,6,0,1,4,43,4,39,31,1,0,6,0,0,1,24,24,0,0,0,0,0,0,0,0,0,0,0,090,090,0.9999999999999998
361190024041004,36,119,002404,1004,56,20,11,2,6,0,2,15,56,24,32,14,11,0,6,0,0,1,23,23,0,0,0,0,0,0,0,0,0,0,0,090,090,1.0
361190022012001,36,119,002201,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,090,090,1.0000000000000002
361190014021009,36,119,001402,1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,090,090,0.9999999999999986
361190016004009,36,119,001600,4009,29,3,4,0,3,0,1,18,29,18,11,1,2,0,3,0,0,5,2,0,2,0,0,0,0,0,0,0,0,0,0,090,090,1.0000000000000004
361190016004010,36,119,001600,4010,281,153,43,7,8,0,49,21,281,67,214,150,41,0,8,0,4,11,27,23,4,171,0,0,0,0,0,171,0,0,171,090,090,1.0000000000000004
