GEOID,STATE,COUNTY,TRACT,BLOCK,P1_Total(001),P1_White(003),P1_Black(004),P1_AIAN(005),P1_Asian(006),P1_NHPI(007),P1_Other(008),P1_TwoPlus(009),P2_Total(001),P2_Hispanic(002),P2_NotHispanic(003),P2_NH_White(005),P2_NH_Black(006),P2_NH_AIAN(007),P2_NH_Asian(008),P2_NH_NHPI(009),P2_NH_Other(010),P2_NH_TwoPlus(011),H1_TotalUnits(001),H1_Occupied(002),H1_Vacant(003),P5_GQTotal(001),P5_Inst(002),P5_Correctional(003),P5_Juvenile(004),P5_Nursing(005),P5_OtherInst(006),P5_NonInst(007),P5_College(008),P5_Military(009),P5_OtherNonInst(010),ad_old,ad_new
361190032002004,36,119,003200,2004,237,11,207,2,0,0,11,6,237,23,214,8,206,0,0,0,0,0,119,119,0,0,0,0,0,0,0,0,0,0,0,089,089
361190040011006,36,119,004001,1006,191,10,130,0,3,0,32,16,191,49,142,2,130,0,3,0,0,7,77,77,0,0,0,0,0,0,0,0,0,0,0,089,089
361190040011007,36,119,004001,1007,81,10,19,0,3,0,38,11,81,61,20,0,14,0,2,0,2,2,36,31,5,0,0,0,0,0,0,0,0,0,0,089,089
361190032002001,36,119,003200,2001,202,3,185,0,3,0,4,7,202,13,189,0,184,0,3,0,0,2,66,66,0,0,0,0,0,0,0,0,0,0,0,089,089
361190032002002,36,119,003200,2002,82,7,53,0,2,0,14,6,82,23,59,0,53,0,2,0,0,4,26,17,9,0,0,0,0,0,0,0,0,0,0,089,089
361190032001006,36,119,003200,1006,99,0,90,0,1,2,5,1,99,1,98,0,90,0,1,2,5,0,43,42,1,0,0,0,0,0,0,0,0,0,0,089,089
361190015032004,36,119,001503,2004,120,108,3,0,3,0,3,3,120,10,110,105,2,0,3,0,0,0,59,59,0,0,0,0,0,0,0,0,0,0,0,089,089
361190118002013,36,119,011800,2013,19,10,0,0,2,0,0,7,19,8,11,8,0,0,2,0,0,1,5,5,0,0,0,0,0,0,0,0,0,0,0,092,092
361190122023001,36,119,012202,3001,36,35,0,0,0,0,0,1,36,3,33,33,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,092,092
361190122023008,36,119,012202,3008,38,35,0,0,0,0,2,1,38,3,35,35,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,092,092
361190040012000,36,119,004001,2000,278,17,231,0,3,0,19,8,278,23,255,16,231,0,3,0,0,5,137,126,11,0,0,0,0,0,0,0,0,0,0,089,089
361190040021002,36,119,004002,1002,29,0,16,0,0,0,3,10,29,17,12,0,8,0,0,0,0,4,6,6,0,0,0,0,0,0,0,0,0,0,0,089,089
361190036003003,36,119,003600,3003,102,8,57,0,7,0,24,6,102,24,78,6,57,0,7,0,5,3,48,48,0,0,0,0,0,0,0,0,0,0,0,089,089
